Pitch_Number,count,x_interval,y_interval,percentage,alpha
254,158.0,"(50.0, 55.0)","(65.0, 70.0)",0.004029173254449942,0.4376731301939058
255,189.0,"(50.0, 55.0)","(70.0, 75.0)",0.004819707247411638,0.5235457063711911
256,166.0,"(50.0, 55.0)","(75.0, 80.0)",0.004233182026827154,0.4598337950138504
257,117.0,"(50.0, 55.0)","(80.0, 85.0)",0.002983628296016729,0.32409972299168976
258,94.0,"(50.0, 55.0)","(85.0, 90.0)",0.0023971030754322436,0.26038781163434904
259,115.0,"(50.0, 55.0)","(90.0, 95.0)",0.0029326261029224256,0.3185595567867036
260,73.0,"(50.0, 55.0)","(95.0, 100.0)",0.0018615800479420616,0.20221606648199447
261,42.0,"(50.0, 55.0)","(100.0, 105.0)",0.0010710460549803642,0.11634349030470914
262,33.0,"(50.0, 55.0)","(105.0, 110.0)",0.0008415361860560004,0.09141274238227147
263,21.0,"(50.0, 55.0)","(110.0, 115.0)",0.0005355230274901821,0.05817174515235457
264,18.0,"(50.0, 55.0)","(115.0, 120.0)",0.0004590197378487275,0.04986149584487535
265,32.0,"(55.0, 60.0)","(0.0, 5.0)",0.0008160350895088489,0.0886426592797784
266,49.0,"(55.0, 60.0)","(5.0, 10.0)",0.0012495537308104248,0.13573407202216067
267,64.0,"(55.0, 60.0)","(10.0, 15.0)",0.0016320701790176978,0.1772853185595568
268,58.0,"(55.0, 60.0)","(15.0, 20.0)",0.0014790635997347886,0.16066481994459833
269,97.0,"(55.0, 60.0)","(20.0, 25.0)",0.002473606365073698,0.26869806094182824
270,108.0,"(55.0, 60.0)","(25.0, 30.0)",0.002754118427092365,0.29916897506925205
271,112.0,"(55.0, 60.0)","(30.0, 35.0)",0.002856122813280971,0.31024930747922436
272,116.0,"(55.0, 60.0)","(35.0, 40.0)",0.002958127199469577,0.32132963988919666
273,172.0,"(55.0, 60.0)","(40.0, 45.0)",0.004386188606110062,0.47645429362880887
274,183.0,"(55.0, 60.0)","(45.0, 50.0)",0.00466670066812873,0.5069252077562327
275,139.0,"(55.0, 60.0)","(50.0, 55.0)",0.0035446524200540624,0.3850415512465374
276,182.0,"(55.0, 60.0)","(55.0, 60.0)",0.0046411995715815784,0.5041551246537396
277,221.0,"(55.0, 60.0)","(60.0, 65.0)",0.005635742336920487,0.6121883656509696
278,167.0,"(55.0, 60.0)","(65.0, 70.0)",0.004258683123374305,0.4626038781163435
279,187.0,"(55.0, 60.0)","(70.0, 75.0)",0.004768705054317336,0.518005540166205
280,208.0,"(55.0, 60.0)","(75.0, 80.0)",0.005304228081807518,0.5761772853185596
281,148.0,"(55.0, 60.0)","(80.0, 85.0)",0.003774162288978426,0.4099722991689751
282,135.0,"(55.0, 60.0)","(85.0, 90.0)",0.0034426480338654564,0.3739612188365651
283,151.0,"(55.0, 60.0)","(90.0, 95.0)",0.003850665578619881,0.4182825484764543
284,122.0,"(55.0, 60.0)","(95.0, 100.0)",0.0031111337787524864,0.3379501385041551
285,61.0,"(55.0, 60.0)","(100.0, 105.0)",0.0015555668893762432,0.16897506925207756
286,53.0,"(55.0, 60.0)","(105.0, 110.0)",0.001351558116999031,0.14681440443213298
287,60.0,"(55.0, 60.0)","(110.0, 115.0)",0.0015300657928290916,0.16620498614958448
288,44.0,"(55.0, 60.0)","(115.0, 120.0)",0.0011220482480746672,0.12188365650969529
289,4.0,"(60.0, 65.0)","(0.0, 5.0)",0.00010200438618860611,0.0110803324099723
290,23.0,"(60.0, 65.0)","(5.0, 10.0)",0.0005865252205844851,0.06371191135734072
291,42.0,"(60.0, 65.0)","(10.0, 15.0)",0.0010710460549803642,0.11634349030470914
